model,component,eigenvalue,explained_energy,cumulative_energy
CNN-SW,216,0.00020474309402733143,1.0199346682004656e-05,0.9997503757321813
CNN-SW,217,0.00019943100931637612,9.934723380160944e-06,0.9997603104555615
CNN-SW,218,0.00019842376135749908,9.884546981410436e-06,0.9997701950025428
CNN-SW,219,0.0001952750695697823,9.727693831904853e-06,0.9997799226963747
CNN-SW,220,0.00019188151582757285,9.558642801074051e-06,0.9997894813391758
CNN-SW,221,0.0001837996074174445,9.156039792075347e-06,0.9997986373789679
CNN-SW,222,0.00018189155020369426,9.060989274720457e-06,0.9998076983682426
CNN-SW,223,0.00017643773118571735,8.789305430293299e-06,0.9998164876736728
CNN-SW,224,0.00017306127989755212,8.62110636401221e-06,0.9998251087800368
CNN-SW,225,0.00017175385550927247,8.555976574605042e-06,0.9998336647566114
CNN-SW,226,0.0001675986636395435,8.348984282088667e-06,0.9998420137408934
CNN-SW,227,0.00016609403257214728,8.27403057506478e-06,0.9998502877714684
CNN-SW,228,0.00016127556186157235,8.033996822093955e-06,0.9998583217682906
CNN-SW,229,0.00015658994338243567,7.800581148098413e-06,0.9998661223494387
CNN-SW,230,0.0001538627818191794,7.66472666971598e-06,0.9998737870761084
CNN-SW,231,0.00015039284147749698,7.491870414520538e-06,0.9998812789465229
CNN-SW,232,0.00014856943107796646,7.40103660692993e-06,0.9998886799831298
CNN-SW,233,0.00014185682802361996,7.0666460087258025e-06,0.9998957466291385
CNN-SW,234,0.00013825913442073667,6.887425681487128e-06,0.9999026340548199
CNN-SW,235,0.00013702808242405424,6.826100408674449e-06,0.9999094601552286
CNN-SW,236,0.0001348096088550915,6.7155863952850905e-06,0.999916175741624
CNN-SW,237,0.00012817264409833765,6.384963744533593e-06,0.9999225607053684
CNN-SW,238,0.00012608285058918921,6.280859971974786e-06,0.9999288415653405
CNN-SW,239,0.00011870747383898958,5.91345307728538e-06,0.9999347550184178
CNN-SW,240,0.00011622401854410565,5.7897389093320516e-06,0.9999405447573271
CNN-SW,241,0.00011199010138808698,5.578824889973933e-06,0.999946123582217
CNN-SW,242,0.00010284716711852003,5.123366517865685e-06,0.9999512469487348
CNN-SW,243,0.00010014606152751282,4.988810026579557e-06,0.9999562357587614
CNN-SW,244,9.256906939496491e-05,4.611359593226422e-06,0.9999608471183545
CNN-SW,245,9.159023607564128e-05,4.56259867938409e-06,0.999965409717034
CNN-SW,246,8.675989282399882e-05,4.321973491752577e-06,0.9999697316905257
CNN-SW,247,8.32392449865608e-05,4.146591225455054e-06,0.9999738782817512
CNN-SW,248,7.087273048162485e-05,3.5305491104177397e-06,0.9999774088308616
CNN-SW,249,6.85959548570912e-05,3.41713076035287e-06,0.999980825961622
CNN-SW,250,6.462972689043221e-05,3.2195517687683372e-06,0.9999840455133907
CNN-SW,251,6.302725129592185e-05,3.1397239034353997e-06,0.9999871852372941
CNN-SW,252,6.19881951311015e-05,3.0879629681158324e-06,0.9999902732002622
CNN-SW,253,6.0552545312989025e-05,3.0164455854248613e-06,0.9999932896458477
CNN-SW,254,5.018116452222087e-05,2.4997917331488615e-06,0.9999957894375808
CNN-SW,255,4.362648323276466e-05,2.1732680612330273e-06,0.999997962705642
